epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.09982,1.60269,2.4858,1.22768,0.0045,0.96875,0.29376,0.14687,1.67171,3.08516,1.18997,0.000648649,0.000648649,0.000648649
2,7.06029,1.54601,1.51853,1.15093,0.79684,0.12302,0.26584,0.11395,1.91033,2.88671,1.35337,0.0012285,0.0012285,0.0012285
3,10.2616,1.46775,1.30277,1.13315,0.18543,0.28461,0.15842,0.07304,1.68654,2.78875,1.3822,0.00172036,0.00172036,0.00172036
4,13.8872,1.44902,1.24404,1.13116,0.64213,0.5,0.51923,0.2165,1.67569,2.07909,1.37389,0.001604,0.001604,0.001604
5,17.8844,1.35863,1.15481,1.08938,0.71601,0.71875,0.70672,0.37227,1.60067,1.36889,1.26219,0.001472,0.001472,0.001472
6,21.932,1.53191,1.37528,1.20186,0.82811,0.71875,0.85128,0.40042,1.66389,1.27717,1.35037,0.00134,0.00134,0.00134
7,25.2691,1.51441,1.27054,1.16586,0.89998,0.875,0.89316,0.43581,1.48602,1.24827,1.16006,0.001208,0.001208,0.001208
8,29.1803,1.53803,1.16458,1.17225,0.90683,0.78125,0.83333,0.45294,1.52018,1.11838,1.15217,0.001076,0.001076,0.001076
9,33.2946,1.42296,1.12885,1.09276,0.86083,0.77342,0.8719,0.44032,1.42665,1.10978,1.16521,0.000944,0.000944,0.000944
10,37.2898,1.46096,1.09651,1.13961,0.95561,0.8125,0.89241,0.46902,1.46748,0.97798,1.25628,0.000812,0.000812,0.000812
11,41.3714,1.33423,1.02268,1.09611,0.76613,0.81911,0.77003,0.42297,1.53919,0.9624,1.26773,0.00068,0.00068,0.00068
12,45.2871,1.3354,0.98395,1.07091,0.90877,0.8125,0.85822,0.48645,1.44441,0.88102,1.20785,0.000548,0.000548,0.000548
13,49.3954,1.3134,0.91687,1.07402,0.91577,0.875,0.90898,0.48178,1.49981,0.85865,1.18399,0.000416,0.000416,0.000416
14,53.3281,1.24731,0.86695,1.05047,0.85722,0.84375,0.82236,0.48966,1.45547,0.84966,1.14806,0.000284,0.000284,0.000284
15,56.9586,1.26186,0.86006,1.06219,0.88997,0.8125,0.82758,0.49763,1.47905,0.87525,1.15377,0.000152,0.000152,0.000152
